id,city,state,2016_estimate,2010,2016 area,density,location
158,Cary[25], North Carolina,"162,320","135,234",146.3 km2,"1,109/km2",35.7809°N 78.8133°W
159,Lancaster, California,"160,106","156,633",244.2 km2,656/km2,34.6936°N 118.1753°W
160,Hayward, California,"158,937","144,186",117.8 km2,"1,349/km2",37.6287°N 122.1024°W
161,Palmdale, California,"157,356","152,750",274.5 km2,573/km2,34.5910°N 118.1054°W
162,Salinas, California,"157,218","150,441",61.1 km2,"2,572/km2",36.6902°N 121.6337°W
163,Alexandria[16], Virginia,"155,810","139,966",38.8 km2,"4,010/km2",38.8201°N 77.0841°W
164,Lakewood, Colorado,"154,393","142,980",111.1 km2,"1,390/km2",39.6989°N 105.1176°W
165,Springfield, Massachusetts,"154,074","153,060",82.6 km2,"1,860/km2",42.1155°N 72.5400°W
166,Pasadena, Texas,"153,351","149,043",112.7 km2,"1,361/km2",29.6586°N 95.1506°W
167,Sunnyvale, California,"152,771","140,081",57.0 km2,"2,681/km2",37.3858°N 122.0263°W
168,Macon[26], Georgia,"152,555","91,351",645.7 km2,236/km2,32.8088°N 83.6942°W
169,Pomona, California,"152,494","149,058",59.6 km2,"2,560/km2",34.0585°N 117.7611°W
170,Hollywood, Florida,"151,998","140,768",70.7 km2,"2,150/km2",26.0310°N 80.1646°W
171,Kansas City[27], Kansas,"151,709","145,786",323.2 km2,470/km2,39.1225°N 94.7418°W
172,Escondido, California,"151,613","143,911",96.1 km2,"1,578/km2",33.1331°N 117.0740°W
173,Clarksville, Tennessee,"150,287","132,929",254.6 km2,590/km2,36.5664°N 87.3452°W
174,Joliet, Illinois,"148,262","147,433",166.8 km2,889/km2,41.5177°N 88.1488°W
175,Rockford, Illinois,"147,651","152,871",164.5 km2,898/km2,42.2588°N 89.0646°W
176,Torrance, California,"147,195","145,438",53.1 km2,"2,770/km2",33.8350°N 118.3414°W
177,Naperville, Illinois,"147,122","141,853",100.2 km2,"1,468/km2",41.7492°N 88.1620°W
178,Paterson, New Jersey,"147,000","146,199",21.8 km2,"6,800/km2",40.9148°N 74.1628°W
179,Savannah, Georgia,"146,763","136,286",268.3 km2,547/km2,32.0025°N 81.1536°W
180,Bridgeport, Connecticut,"145,936","144,229",41.7 km2,"3,500/km2",41.1874°N 73.1958°W
